image_id,rover,camera,sol,rock_coverage_pct,coverage_total_pct,frac_valid,n_bigrock,n_rocks,n_raw_components,quality_flag
NLA_397586934EDR_F0010008AUT_04096M1,MSL,navcam,,,0.0,0.0,0,0,0,empty
NLA_397681339EDR_F0020000AUT_04096M1,MSL,navcam,,0.0,0.0,0.4691,0,0,0,no_rock
NLA_397681372EDR_F0020000AUT_04096M1,MSL,navcam,,0.0,0.0,0.4394,0,0,0,no_rock
NLA_397681398EDR_F0020000AUT_04096M1,MSL,navcam,,0.0,0.0,0.6083,0,0,0,no_rock
NLA_397681429EDR_F0020000AUT_04096M1,MSL,navcam,,0.0,0.0,0.7147,0,0,0,no_rock
NLA_397681455EDR_F0020000AUT_04096M1,MSL,navcam,,0.0,0.0,0.7018,0,0,0,no_rock
NLA_397681486EDR_F0020000AUT_04096M1,MSL,navcam,,0.0,0.0,0.7708,0,0,0,no_rock
NLA_397681520EDR_F0020000AUT_04096M1,MSL,navcam,,0.0,0.0,0.8111,0,0,0,no_rock
NLA_397681553EDR_F0020000AUT_04096M1,MSL,navcam,,0.0,0.0,0.8314,0,0,0,no_rock
NLA_397681586EDR_F0020000AUT_04096M1,MSL,navcam,,0.0,0.0,0.7842,0,0,0,no_rock
NLA_397681619EDR_F0020000AUT_04096M1,MSL,navcam,,0.0,0.0,0.3056,0,0,0,no_rock
NLA_397681703EDR_F0020000AUT_04096M1,MSL,navcam,,,0.0,0.0,0,0,0,empty
NLA_397681736EDR_F0020000AUT_04096M1,MSL,navcam,,0.0,0.0,0.1836,0,0,0,no_rock
NLA_397681768EDR_F0020000AUT_04096M1,MSL,navcam,,0.0,0.0,0.1196,0,0,0,no_rock
NLA_397681801EDR_F0020000AUT_04096M1,MSL,navcam,,0.0,0.0,0.066,0,0,0,no_rock
NLA_397681834EDR_F0020000AUT_04096M1,MSL,navcam,,0.0,0.0,0.4514,0,0,0,no_rock
NLA_397681867EDR_F0020000AUT_04096M1,MSL,navcam,,0.0,0.0,0.8489,0,0,0,no_rock
NLA_397681893EDR_F0020000AUT_04096M1,MSL,navcam,,0.0,0.0,0.8957,0,0,0,no_rock
